brand_name,ingredient_name
1 Plus 1 F,hydrocortisone
1 Plus 1 F,clioquinol
1 Plus 1 F,pramoxine
1/2 Halfprin,aspirin
300 PRO LA,oxytetracycline
40 Winks,diphenhydramine
4XLA Activator,lactate
4XLA Base,sodium chlorite
5-Way Calf Scour Bolus,oxytetracycline
60 Second,sodium fluoride
60 Second,hydrofluoric acid
60 Second Taste,sodium fluoride
8-1 Marvel Aid,sulfadimethoxine
8-MOP,methoxsalen
A & L Laboratories 10 Mix 10,iodine
A & L Laboratories Protect,iodine
A+D Diaper Rash,dimethicone
A+D Diaper Rash,zinc oxide
A+D Original,petrolatum
A+D Original,lanolin
A-Cillin,penicillin V
A-Cof DH,guaifenesin
A-Cof DH,hydrocodone
A-G Tussin,hydrocodone
A-G Tussin,pseudoephedrine
A-G Tussin,chlorpheniramine
A-Hydrocort,hydrocortisone
A-MethaPred,methylprednisolone
A-Phedrin,triprolidine
A-Phedrin,pseudoephedrine
A-Spas,hyoscyamine
A.E.R. Witch Hazel,witch hazel
A.P.L.,chorionic gonadotropin
A/B Otic,antipyrine
A/B Otic,benzocaine
A/T/S,erythromycin
ABG Pulsator,povidone-iodine
ABR-90,trolamine salicylate
ACAM2000,"smallpox vaccine live, New York City Board of Health vaccinia strain"
ACEL-IMUNE,"diphtheria toxoid vaccine, inactivated"
ACEL-IMUNE,"tetanus toxoid vaccine, inactivated"
ACEL-IMUNE,"acellular pertussis vaccine, inactivated"
ACT Advanced Care,cetylpyridinium
ACT Fluoride Rinse,sodium fluoride
ACTH Gel,corticotropin
ACTH-40 HP,corticotropin
ACTH-80,corticotropin
AK-Beta,levobunolol
AK-Chlor,chloramphenicol
AK-Cide,prednisolone
AK-Cide,sulfacetamide
AK-Con,naphazoline
AK-Con-A,pheniramine
AK-Con-A,naphazoline
AK-Dex,dexamethasone
AK-Dilate,phenylephrine
AK-Nefrin,phenylephrine
AK-Neo-Dex,neomycin
AK-Neo-Dex,dexamethasone
AK-Pentolate,cyclopentolate
AK-Pred,prednisolone
AK-Pro,dipivefrin
AK-Spore,neomycin
AK-Spore,gramicidin
AK-Spore,polymyxin B
AK-Spore HC,polymyxin B
AK-Spore HC,neomycin
AK-Spore HC,hydrocortisone
AK-Spore HC Ointment,bacitracin
AK-Spore HC Ointment,hydrocortisone
AK-Spore HC Ointment,neomycin
AK-Spore HC Ointment,polymyxin B
AK-Sulf,sulfacetamide
AK-Taine,proparacaine
AK-Tob,tobramycin
AK-Trol,polymyxin B
AK-Trol,neomycin
AK-Trol,dexamethasone
ANTIROBE,clindamycin
APF Gel,sodium fluoride
AT 10,dihydrotachysterol
ATGAM,"lymphocyte immune globulin, anti-thymocyte globulin"
ATryn,antithrombin III
AVC brand of sulfanilamide,sulfanilamide
Aagylur,penicillamine
Aardora Anti-Fungal Maximum Strength,clotrimazole
Abbokinase,urokinase
Abecma,idecabtagene vicleucel
Abelcet,amphotericin B
Abilify,aripiprazole
Abirtega,abiraterone
Abraxane,paclitaxel
Abreva,docosanol
Abreva Rapid Pain Relief,glycerin
