drug_name,condition_name,relationship_name,snomed_full_name,umls_cui
abacavir,Chronic pancreatitis,contraindication,Chronic pancreatitis,C0149521
abacavir,Breastfeeding (mother),contraindication,Breastfeeding (mother),C1623040
abacavir,HLA-B 5701 Positive Status,contraindication,,
abacavir,Anemia,contraindication,Anemia,C0002871
abacavir,Drug Resistance to Anti-retroviral Therapy,contraindication,,
abacavir,Kidney disease,contraindication,Kidney disease,C0022658
abacavir,Acute pancreatitis,contraindication,Acute pancreatitis,C0001339
abacavir,Myositis,contraindication,Myositis,C0027121
abacavir,Disorder of muscle,contraindication,Disorder of muscle,C0026848
abacavir,Obesity,contraindication,Obesity,C0028754
abacavir,Steatosis of liver,contraindication,Steatosis of liver,C2711227
abacavir,Toxic amblyopia,contraindication,Toxic amblyopia,C0237979
abacavir,Bone marrow depression,contraindication,Bone marrow depression,C0151773
abacavir,Lactic acidosis,contraindication,Lactic acidosis,C0001125
abacavir,Disease of liver,contraindication,Disease of liver,C0023895
abacavir,Large liver,contraindication,Large liver,C0019209
abacavir,Hepatic failure,contraindication,Hepatic failure,C0085605
abacavir,Pancreatitis,contraindication,Pancreatitis,C0030305
abacavir,Hypertriglyceridemia,contraindication,Hypertriglyceridemia,C0020557
abacavir,Neutropenic disorder,contraindication,Neutropenic disorder,C0027947
abaloparatide,Renal impairment,contraindication,Renal impairment,C1565489
abaloparatide,Hypercalcemia,contraindication,Hypercalcemia,C0020437
abaloparatide,Bone metastases,contraindication,Bony metastasis,C0153690
abaloparatide,"Pregnancy, function",contraindication,"Pregnancy, function",C0032961
abaloparatide,Skeletal malignancies,contraindication,Malignant neoplasm of skeletal system,C2733043
abaloparatide,Unexplained elevations of serum alkaline phosphatase,contraindication,,
abaloparatide,Risk for osteosarcoma,contraindication,,
abaloparatide,Breastfeeding (mother),contraindication,Breastfeeding (mother),C1623040
abarelix,Prolonged QT interval,contraindication,Prolonged QT interval,C0151878
abarelix,Breastfeeding (mother),contraindication,Breastfeeding (mother),C1623040
abarelix,Liver function tests abnormal,contraindication,Liver function tests abnormal,C0151766
abarelix,"Pregnancy, function",contraindication,"Pregnancy, function",C0032961
abarelix,Obesity,contraindication,Obesity,C0028754
abiraterone acetate,Body fluid retention,contraindication,Body fluid retention,C0268000
abiraterone acetate,Hypertensive disorder,contraindication,Hypertensive disorder,C0020538
abiraterone acetate,Liver function tests abnormal,contraindication,Liver function tests abnormal,C0151766
abiraterone acetate,Hypokalemia,contraindication,Hypokalemia,C0020621
abiraterone acetate,"Pregnancy, function",contraindication,"Pregnancy, function",C0032961
abiraterone acetate,Chronic heart failure,contraindication,Chronic heart failure,C0264716
abiraterone acetate,Hyperbilirubinemia,contraindication,Hyperbilirubinemia,C0020433
abiraterone acetate,Breastfeeding (mother),contraindication,Breastfeeding (mother),C1623040
abiraterone acetate,Disease of liver,contraindication,Disease of liver,C0023895
acamprosate,Impaired renal function disorder,contraindication,Impaired renal function disorder,C0341677
acamprosate,Suicidal thoughts,contraindication,Suicidal thoughts,C0424000
acamprosate,Acute nephropathy,contraindication,Acute nephropathy,C0268734
acarbose,Disease of liver,contraindication,Disease of liver,C0023895
acarbose,Kidney disease,contraindication,Kidney disease,C0022658
acarbose,Ulceration of colon,contraindication,Ulceration of colon,C0267491
acarbose,Cirrhosis of liver,contraindication,Cirrhosis of liver,C0023890
acarbose,Hypoglycemic disorder,contraindication,Hypoglycemic disorder,C0020615
acarbose,Surgical procedure,contraindication,Surgical procedure,C0543467
acarbose,Liver function tests abnormal,contraindication,Liver function tests abnormal,C0151766
acarbose,Fever greater than 100.4 Fahrenheit,contraindication,Fever greater than 100.4 Fahrenheit,C1959900
acarbose,Gastrointestinal obstruction,contraindication,Gastrointestinal obstruction,C0236124
acarbose,Malabsorption States,contraindication,,
acarbose,Traumatic injury,contraindication,Traumatic injury,C3263723
acarbose,Inflammatory bowel disease,contraindication,Inflammatory bowel disease,C0021390
acebutolol,Complete atrioventricular block,contraindication,Complete atrioventricular block,C0151517
acebutolol,Acute exacerbation of asthma,contraindication,Acute exacerbation of asthma,C0347950
acebutolol,Sick sinus syndrome,contraindication,Sick sinus syndrome,C0037052
acebutolol,Raynaud's phenomenon,contraindication,Raynaud's phenomenon,C0034735
acebutolol,Myasthenia gravis,contraindication,Myasthenia gravis,C0026896
acebutolol,Diabetes mellitus,contraindication,Diabetes mellitus,C0011849
acebutolol,Decompensated cardiac failure,contraindication,Decompensated cardiac failure,C0581377
acebutolol,Psoriasis,contraindication,Psoriasis,C0033860
acebutolol,Kidney disease,contraindication,Kidney disease,C0022658
acebutolol,Peripheral arterial occlusive disease,contraindication,Peripheral arterial occlusive disease,C1306889
acebutolol,Pulmonary emphysema,contraindication,Pulmonary emphysema,C0034067
acebutolol,Cardiogenic shock,contraindication,Cardiogenic shock,C0036980
acebutolol,Severe chronic obstructive pulmonary disease,contraindication,Severe chronic obstructive pulmonary disease,C0730607
acebutolol,Peripheral vascular disease,contraindication,Peripheral vascular disease,C0085096
acebutolol,Anaphylaxis,contraindication,Anaphylaxis,C0002792
acebutolol,Depressive disorder,contraindication,Depressive disorder,C0011581
acebutolol,Sinus bradycardia,contraindication,Sinus bradycardia,C0085610
acebutolol,Asthma,contraindication,Asthma,C0004096
acebutolol,Pheochromocytoma,contraindication,Pheochromocytoma,C0031511
acebutolol,Disease of liver,contraindication,Disease of liver,C0023895
acebutolol,"Pregnancy, function",contraindication,"Pregnancy, function",C0032961
acebutolol,Partial atrioventricular block,contraindication,Partial atrioventricular block,C1621824
acetazolamide,Renal tubular acidosis,contraindication,Renal tubular acidosis,C0001126
acetazolamide,Hyperkalemia,contraindication,Hyperkalemia,C0020461
acetazolamide,Disease of liver,contraindication,Disease of liver,C0023895
acetazolamide,Diabetes mellitus type 1,contraindication,Diabetes mellitus type 1,C0011854
acetazolamide,Recurrent Calcium Renal Calculi,contraindication,,
acetazolamide,Kidney disease,contraindication,Kidney disease,C0022658
acetazolamide,"Metabolic acidosis, normal anion gap, acidifying salts",contraindication,"Metabolic acidosis, normal anion gap, acidifying salts",C0085569
acetazolamide,Disorder of electrolytes,contraindication,Disorder of electrolytes,C1704431
acetazolamide,Respiratory acidosis,contraindication,Respiratory acidosis,C0001127
acetazolamide,Diabetes mellitus type 2,contraindication,Diabetes mellitus type 2,C0011860
acetazolamide,Disease of blood AND/OR blood-forming organ,contraindication,Disease of blood AND/OR blood-forming organ,C0018939
acetazolamide,Hyponatremia,contraindication,Hyponatremia,C0020625
acetazolamide,Gout,contraindication,Gout,C0018099
acetazolamide,Decreased respiratory function,contraindication,Decreased respiratory function,C0235063
acetazolamide,Hepatic failure,contraindication,Hepatic failure,C0085605
acetazolamide,Primary adrenocortical insufficiency,contraindication,Primary adrenocortical insufficiency,C0001403
acetazolamide,Acute nephropathy,contraindication,Acute nephropathy,C0268734
acetic acid,Infective otitis media,contraindication,Infective otitis media,C0729586
acetic acid,Herpes zoster auricularis,contraindication,Herpes zoster auricularis,C0017409
acetic acid,Viral ear infection,contraindication,Viral ear infection,C0729535
acetic acid,Herpes simplex,contraindication,Herpes simplex,C0019348
acetic acid,Tuberculosis of ear,contraindication,Tuberculosis of ear,C0152874
acetic acid,Porphyria,contraindication,Porphyria,C0032708
acetic acid,Perforation of tympanic membrane,contraindication,Perforation of tympanic membrane,C0206504
acetic acid,Sensation Disturbance of Genitals,contraindication,,
acetic acid,Fungal ear infection,contraindication,Fungal ear infection,C0729545
acetohydroxamic acid,Alcoholism,contraindication,Alcoholism,C0001973
acetohydroxamic acid,"Pregnancy, function",contraindication,"Pregnancy, function",C0032961
acetohydroxamic acid,Leukopenia,contraindication,Leukopenia,C0023530
acetohydroxamic acid,Thrombocytopenic disorder,contraindication,Thrombocytopenic disorder,C0040034
acetohydroxamic acid,Phlebitis,contraindication,Phlebitis,C0031542
acetohydroxamic acid,Hemolytic anemia,contraindication,Hemolytic anemia,C0002878
acetohydroxamic acid,Acute nephropathy,contraindication,Acute nephropathy,C0268734
acetohydroxamic acid,Anemia,contraindication,Anemia,C0002871
acetophenazine,Tardive dyskinesia,contraindication,Tardive dyskinesia,C0686347
acetophenazine,Chronic disease of respiratory system,contraindication,Chronic disease of respiratory system,C0264220
acetophenazine,Myocardial infarction,contraindication,Myocardial infarction,C0027051
acetophenazine,Glaucoma,contraindication,Glaucoma,C0017601
acetophenazine,Organophosphate poisoning,contraindication,Organophosphate poisoning,C0700359
acetophenazine,Obesity,contraindication,Obesity,C0028754
acetophenazine,Epilepsy,contraindication,Epilepsy,C0014544
acetophenazine,Disease of liver,contraindication,Disease of liver,C0023895
acetophenazine,Visual impairment,contraindication,Visual impairment,C3665347
acetophenazine,Acute disease of cardiovascular system,contraindication,Acute disease of cardiovascular system,C1290379
acetophenazine,Anemia,contraindication,Anemia,C0002871
acetophenazine,Neutropenic disorder,contraindication,Neutropenic disorder,C0027947
acetophenazine,Bradycardia,contraindication,Bradycardia,C0428977
acetophenazine,Thrombocytopenic disorder,contraindication,Thrombocytopenic disorder,C0040034
acetophenazine,Extrapyramidal disease,contraindication,Extrapyramidal disease,C0015371
acetophenazine,Stupor,contraindication,Stupor,C0085628
acetophenazine,Myocardial ischemia,contraindication,Myocardial ischemia,C0151744
acetophenazine,Retention of urine,contraindication,Retention of urine,C0080274
acetophenazine,Conduction disorder of the heart,contraindication,Conduction disorder of the heart,C0264886
acetophenazine,Orthostatic hypotension,contraindication,Orthostatic hypotension,C0020651
acetophenazine,Carcinoma of female breast,contraindication,Carcinoma of female breast,C3163805
acetophenazine,Neuroleptic malignant syndrome,contraindication,Neuroleptic malignant syndrome,C0027849
acetophenazine,Senile dementia,contraindication,Senile dementia,C0011268
acetophenazine,Parkinsonism,contraindication,Parkinsonism,C0242422
acetophenazine,Metabolic syndrome X,contraindication,Metabolic syndrome X,C0524620
acetophenazine,Alcoholism,contraindication,Alcoholism,C0001973
acetophenazine,Breastfeeding (mother),contraindication,Breastfeeding (mother),C1623040
acetophenazine,Angina pectoris,contraindication,Angina pectoris,C0002962
acetophenazine,Weight gain finding,contraindication,Weight gain finding,C0043094
acetophenazine,Benign prostatic hyperplasia,contraindication,Benign prostatic hyperplasia,C1739363
acetophenazine,Leukopenia,contraindication,Leukopenia,C0023530
acetophenazine,Hyperprolactinemia,contraindication,Hyperprolactinemia,C0020514
acetophenazine,Prolonged QT interval,contraindication,Prolonged QT interval,C0151878
acetophenazine,Congenital long QT syndrome,contraindication,Congenital long QT syndrome,C1141890
acetophenazine,Hyperglycemia,contraindication,Hyperglycemia,C0020456
acetophenazine,Torsades de pointes,contraindication,Torsades de pointes,C0040479
acetophenazine,At risk for aspiration,contraindication,At risk for aspiration,C0150012
acetophenazine,Chronic heart failure,contraindication,Chronic heart failure,C0264716
acetophenazine,Coma,contraindication,Coma,C0009421
acetylcarnitine,Kidney disease,contraindication,Kidney disease,C0022658
acetylcarnitine,Seizure disorder,contraindication,Seizure disorder,C0014544
acetylcysteine,Esophageal varices,contraindication,Esophageal varices,C0014867
acetylcysteine,Bronchospasm,contraindication,Bronchospasm,C0006266
acetylcysteine,Acute exacerbation of asthma,contraindication,Acute exacerbation of asthma,C0347950
acetylcysteine,Peptic ulcer,contraindication,Peptic ulcer,C0030920
acetylcysteine,Low blood pressure,contraindication,Low blood pressure,C0020649
acetylcysteine,Decreased respiratory function,contraindication,Decreased respiratory function,C0235063
acetylmethadol,Hypothyroidism,contraindication,Hypothyroidism,C0020676
acetylmethadol,Suicidal thoughts,contraindication,Suicidal thoughts,C0424000
acetylmethadol,Benign intracranial hypertension,contraindication,Benign intracranial hypertension,C0033845
acetylmethadol,Kidney disease,contraindication,Kidney disease,C0022658
acetylmethadol,Conduction disorder of the heart,contraindication,Conduction disorder of the heart,C0264886
acetylmethadol,Procedure on urinary system,contraindication,Procedure on urinary system,C0545433
acetylmethadol,Disorder of gastrointestinal tract,contraindication,Disorder of gastrointestinal tract,C0017178
acetylmethadol,Urethral stricture,contraindication,Urethral stricture,C0041974
acetylmethadol,Disease of liver,contraindication,Disease of liver,C0023895
acetylmethadol,Operation on gastrointestinal tract,contraindication,Operation on gastrointestinal tract,C0399610
acetylmethadol,General anesthesia,contraindication,General anesthesia,C0002915
acetylmethadol,Chronic disease of respiratory system,contraindication,Chronic disease of respiratory system,C0264220
acetylmethadol,Injury of head,contraindication,Injury of head,C0018674
acetylmethadol,Benign prostatic hyperplasia,contraindication,Benign prostatic hyperplasia,C1739363
acetylmethadol,Cholecystitis,contraindication,Cholecystitis,C0008325
acetylmethadol,Decreased respiratory function,contraindication,Decreased respiratory function,C0235063
acetylmethadol,Disorder of gallbladder,contraindication,Disorder of gallbladder,C0016977
acetylmethadol,Mood swings,contraindication,Mood swings,C0085633
acetylmethadol,Lesion of brain,contraindication,Lesion of brain,C0221505
acetylmethadol,Pseudomembranous enterocolitis,contraindication,Pseudomembranous enterocolitis,C0014358
acetylmethadol,Alcoholism,contraindication,Alcoholism,C0001973
acetylmethadol,Acute exacerbation of asthma,contraindication,Acute exacerbation of asthma,C0347950
acetylmethadol,Drug AND/OR toxin-induced diarrhea,contraindication,Drug AND/OR toxin-induced diarrhea,C0267558
acitretin,Psychiatric Disturbance,contraindication,,
acitretin,Liver function tests abnormal,contraindication,Liver function tests abnormal,C0151766
acitretin,Hepatic failure,contraindication,Hepatic failure,C0085605
acitretin,Breastfeeding (mother),contraindication,Breastfeeding (mother),C1623040
acitretin,Depressive disorder,contraindication,Depressive disorder,C0011581
acitretin,Hypercholesterolemia,contraindication,Hypercholesterolemia,C0020443
acitretin,Visual impairment,contraindication,Visual impairment,C3665347
acitretin,Cardiovascular event risk,contraindication,Cardiovascular event risk,C1273410
acitretin,Alcoholism,contraindication,Alcoholism,C0001973
acitretin,Drug-induced hepatitis,contraindication,Drug-induced hepatitis,C1262760
acitretin,Hypertrophy of bone,contraindication,Hypertrophy of bone,C0020492
