id,name,name_lower
DDInter1263,Naltrexone,naltrexone
DDInter1,Abacavir,abacavir
DDInter58,Aluminum hydroxide,aluminum hydroxide
DDInter112,Aprepitant,aprepitant
DDInter138,Attapulgite,attapulgite
DDInter270,Calcium acetate,calcium acetate
DDInter271,Calcium carbonate,calcium carbonate
DDInter582,Dolutegravir,dolutegravir
DDInter975,Iron,iron
DDInter380,Cimetidine,cimetidine
DDInter393,Clarithromycin,clarithromycin
DDInter416,Clotrimazole,clotrimazole
DDInter513,Dexamethasone,dexamethasone
DDInter1005,Kaolin,kaolin
DDInter1019,Lamivudine,lamivudine
DDInter1119,Magnesium oxide,magnesium oxide
DDInter1120,Magnesium sulfate,magnesium sulfate
DDInter1164,Metformin,metformin
DDInter1209,Miconazole,miconazole
DDInter1717,Sucralfate,sucralfate
DDInter1881,Troglitazone,troglitazone
DDInter1961,Zidovudine,zidovudine
DDInter195,Betamethasone,betamethasone
DDInter269,Calcitriol (topical),calcitriol (topical)
DDInter52,Alosetron,alosetron
DDInter246,Budesonide,budesonide
DDInter252,Bupropion,bupropion
DDInter385,Cisapride,cisapride
DDInter519,Dexlansoprazole,dexlansoprazole
DDInter581,Dolasetron,dolasetron
DDInter601,Dronabinol,dronabinol
DDInter629,Eliglustat,eliglustat
DDInter676,Esomeprazole,esomeprazole
DDInter831,Glyburide,glyburide
DDInter840,Granisetron,granisetron
DDInter885,Hydrocortisone,hydrocortisone
DDInter1022,Lansoprazole,lansoprazole
DDInter1070,Linagliptin,linagliptin
DDInter1258,Naldemedine,naldemedine
DDInter1261,Naloxegol,naloxegol
DDInter1269,Nateglinide,nateglinide
DDInter1300,Nitisinone,nitisinone
DDInter1340,Omeprazole,omeprazole
DDInter1342,Ondansetron,ondansetron
DDInter1388,Pantoprazole,pantoprazole
DDInter1472,Pioglitazone,pioglitazone
DDInter1513,Prednisolone,prednisolone
DDInter1515,Prednisone,prednisone
DDInter1559,Rabeprazole,rabeprazole
DDInter1581,Repaglinide,repaglinide
DDInter1615,Rolapitant,rolapitant
DDInter1646,Saxagliptin,saxagliptin
DDInter1665,Sibutramine,sibutramine
DDInter1675,Simvastatin,simvastatin
DDInter1811,Tinidazole,tinidazole
DDInter1855,Triamcinolone,triamcinolone
DDInter5,Abatacept,abatacept
DDInter6,Abciximab,abciximab
DDInter1201,Metreleptin,metreleptin
DDInter8,Abiraterone,abiraterone
DDInter518,Dexfenfluramine,dexfenfluramine
DDInter712,Famotidine,famotidine
DDInter717,Fenfluramine,fenfluramine
DDInter1018,Lactulose,lactulose
DDInter1055,Levofloxacin,levofloxacin
DDInter1088,Loperamide,loperamide
DDInter1197,Metoclopramide,metoclopramide
DDInter1202,Metronidazole,metronidazole
DDInter1382,Palonosetron,palonosetron
DDInter1389,Papaverine,papaverine
DDInter1443,Phenolphthalein,phenolphthalein
DDInter1621,Rosiglitazone,rosiglitazone
DDInter225,Botulinum toxin type A,botulinum toxin type a
DDInter124,Ascorbic acid,ascorbic acid
DDInter1377,Paclitaxel,paclitaxel
DDInter1622,Rosuvastatin,rosuvastatin
DDInter991,Isotretinoin,isotretinoin
DDInter598,Doxycycline,doxycycline
DDInter1783,Tetracycline,tetracycline
DDInter1941,Vitamin A,vitamin a
DDInter722,Fentanyl,fentanyl
DDInter136,Atropine,atropine
DDInter397,Clidinium,clidinium
DDInter543,Dicyclomine,dicyclomine
DDInter896,Hyoscyamine,hyoscyamine
DDInter1126,Mazindol,mazindol
DDInter1244,Morphine,morphine
DDInter1245,Morphine (liposomal),morphine (liposomal)
DDInter1253,Nabilone,nabilone
DDInter1447,Phentermine,phentermine
DDInter1535,Propantheline,propantheline
