id,RXCUI
DDInter1263,7243
DDInter1,190521
DDInter58,612
DDInter112,358255
DDInter138,18516
DDInter270,214342
DDInter271,1897
DDInter582,1433868
DDInter975,90176
DDInter380,2541
DDInter393,21212
DDInter416,2623
DDInter513,3264
DDInter1005,6102
DDInter1019,68244
DDInter1119,6582
DDInter1120,6585
DDInter1164,6809
DDInter1209,6932
DDInter1717,10156
DDInter1881,72610
DDInter1961,11413
DDInter195,1514
DDInter52,85248
DDInter246,19831
DDInter252,42347
DDInter385,35255
DDInter519,816346
DDInter581,68091
DDInter601,10402
DDInter629,1547220
DDInter676,283742
DDInter831,4815
DDInter840,26237
DDInter885,5492
DDInter1022,17128
DDInter1070,1100699
DDInter1258,1876597
DDInter1261,1551777
DDInter1269,274332
DDInter1300,61805
DDInter1340,7646
DDInter1342,26225
DDInter1388,40790
DDInter1472,33738
DDInter1513,8638
DDInter1515,8640
DDInter1559,114979
DDInter1581,73044
DDInter1615,1665496
DDInter1646,857974
DDInter1665,36514
DDInter1675,36567
DDInter1811,10612
DDInter1855,10759
DDInter5,614391
DDInter6,83929
DDInter1201,1491625
DDInter8,1100072
DDInter518,3268
DDInter712,4278
DDInter717,4328
DDInter1018,6218
DDInter1055,82122
DDInter1088,6468
DDInter1197,6915
DDInter1202,6922
DDInter1382,70561
DDInter1389,7895
DDInter1443,155122
DDInter1621,84108
DDInter225,1712
DDInter124,1151
DDInter1377,56946
DDInter1622,301542
DDInter991,6064
DDInter598,3640
DDInter1783,10395
DDInter1941,11246
DDInter722,4337
DDInter136,1223
DDInter397,21232
DDInter543,3361
DDInter896,153970
DDInter1126,6664
DDInter1244,7052
DDInter1253,31447
DDInter1447,8152
DDInter1535,8761
DDInter1647,9601
DDInter1886,236778
DDInter833,1368451
DDInter1112,29151
DDInter1113,29155
DDInter1118,6581
DDInter1309,42319
DDInter1568,9143
DDInter11,16681
DDInter222,358258
DDInter548,3390
DDInter839,50610
DDInter917,114289
DDInter947,75917
DDInter948,72257
DDInter1042,42375
DDInter1074,10814
DDInter1247,139462
DDInter1276,134527
DDInter1323,7617
DDInter1404,34132
DDInter1412,278739
DDInter1460,8183
DDInter1661,56188
DDInter1800,4952
DDInter1967,115698
DDInter1066,6387
DDInter1453,8163
DDInter362,2400
DDInter825,25789
DDInter834,1546438
DDInter932,274783
DDInter940,86009
DDInter1497,8591
DDInter527,3289
DDInter16,173
DDInter12,149
DDInter364,2404
DDInter652,3992
DDInter826,4821
DDInter1826,10633
DDInter1828,10635
DDInter1217,30009
DDInter14,161
DDInter263,1886
DDInter556,23088
DDInter1262,7242
DDInter429,2670
DDInter84,725
DDInter116,304962
DDInter132,38400
DDInter187,1422
DDInter243,1760
DDInter521,352372
DDInter526,3288
DDInter547,3389
DDInter557,3418
DDInter591,3637
DDInter606,1489913
DDInter665,4025
DDInter776,25255
DDInter846,5036
DDInter915,1114326
DDInter981,6011
DDInter982,6023
DDInter985,27946
DDInter1064,10582
DDInter1073,190376
DDInter1078,700810
DDInter1189,6901
DDInter1194,6911
DDInter1213,6963
DDInter1220,588250
DDInter536,22892
DDInter1375,7824
DDInter1439,33272
DDInter1440,8123
DDInter1458,8175
DDInter1476,33767
DDInter1526,8702
DDInter1606,9392
DDInter1631,1922448
DDInter1635,36117
DDInter1653,9639
DDInter1769,10368
DDInter1845,10734
DDInter1927,39786
DDInter1841,10689
DDInter15,167
DDInter85,732
DDInter168,1348
DDInter18,194
DDInter19,197
DDInter4,301739
DDInter31,296
DDInter42,236083
DDInter44,17300
DDInter78,704
DDInter82,722
DDInter93,596724
DDInter109,1043
DDInter128,42328
DDInter157,18631
DDInter251,1819
DDInter359,2393
DDInter363,2403
DDInter384,2551
DDInter388,2556
DDInter406,2592
DDInter419,2626
DDInter485,3109
DDInter496,83816
DDInter537,3355
DDInter575,3541
DDInter580,49247
DDInter583,135447
DDInter603,3648
DDInter608,72625
DDInter624,195085
DDInter644,3925
DDInter647,306266
DDInter655,3995
DDInter667,337525
DDInter670,4053
DDInter699,24605
DDInter721,4331
DDInter743,4450
DDInter758,4493
DDInter760,4496
DDInter763,4502
DDInter765,4508
DDInter779,33562
DDInter802,4637
DDInter810,328134
DDInter842,83719
DDInter853,5093
DDInter895,5553
DDInter901,41289
DDInter912,5691
DDInter921,5781
DDInter1010,35827
DDInter1139,6693
DDInter1140,6694
DDInter1166,6813
DDInter1215,6964
DDInter1230,15996
DDInter1266,7258
DDInter1290,7407
DDInter1294,31805
DDInter1316,7531
DDInter1326,61381
DDInter1355,32592
DDInter1414,68446
DDInter1420,7994
DDInter1432,8076
DDInter1478,8356
DDInter1527,8704
DDInter1532,8742
DDInter1538,8782
DDInter1543,8886
DDInter1556,9068
DDInter1557,9071
DDInter1570,35829
DDInter1605,35636
DDInter1702,495881
DDInter1704,9947
DDInter1729,10237
DDInter1734,10318
DDInter1735,42316
DDInter1744,10324
DDInter1770,42330
DDInter1791,10438
DDInter1796,10502
DDInter1821,57258
DDInter1831,10636
DDInter1837,38409
DDInter1851,10737
DDInter1859,10763
DDInter1866,10800
DDInter1867,10805
DDInter1876,10834
DDInter1918,306674
DDInter1946,121243
DDInter386,319864
DDInter458,3008
DDInter1212,6960
DDInter1254,31448
DDInter1493,333848
DDInter1505,746741
DDInter1612,68139
DDInter1716,10154
DDInter1951,11289
DDInter66,641
DDInter98,17941
DDInter129,343047
DDInter179,1369
DDInter188,19008
DDInter248,1808
DDInter288,78903
DDInter298,40048
DDInter316,83682
DDInter335,2194
DDInter344,318341
DDInter360,2396
DDInter365,2409
DDInter387,2555
DDInter413,32968
DDInter438,302285
DDInter554,3407
DDInter770,42355
DDInter790,4603
DDInter815,1596450
DDInter883,5487
DDInter889,5495
DDInter916,5764
DDInter1008,6135
DDInter1174,6851
DDInter1199,6916
DDInter1236,30125
