id_min,id_max,Level
DDInter1,DDInter1263,Moderate
DDInter1,DDInter1348,Moderate
DDInter58,DDInter582,Major
DDInter112,DDInter582,Minor
DDInter138,DDInter582,Major
DDInter270,DDInter582,Major
DDInter271,DDInter582,Major
DDInter273,DDInter582,Major
DDInter274,DDInter582,Major
DDInter276,DDInter582,Major
DDInter278,DDInter582,Major
DDInter279,DDInter582,Major
DDInter582,DDInter975,Major
DDInter380,DDInter582,Minor
DDInter393,DDInter582,Minor
DDInter416,DDInter582,Minor
DDInter513,DDInter582,Minor
DDInter1005,DDInter582,Major
DDInter1016,DDInter1019,Moderate
DDInter1112,DDInter582,Major
DDInter1113,DDInter582,Major
DDInter1114,DDInter582,Major
DDInter1115,DDInter582,Major
DDInter1116,DDInter582,Major
DDInter1118,DDInter582,Major
DDInter1119,DDInter582,Major
DDInter1120,DDInter582,Major
DDInter1019,DDInter1123,Moderate
DDInter1164,DDInter582,Moderate
DDInter1209,DDInter582,Minor
DDInter1019,DDInter1263,Moderate
DDInter1019,DDInter1348,Moderate
DDInter1019,DDInter1703,Moderate
DDInter1717,DDInter582,Major
DDInter1881,DDInter582,Minor
DDInter1961,DDInter85,Moderate
DDInter1961,DDInter86,Moderate
DDInter1961,DDInter87,Moderate
DDInter195,DDInter1961,Moderate
DDInter1961,DDInter246,Moderate
DDInter1961,DDInter380,Minor
DDInter1961,DDInter393,Minor
DDInter1961,DDInter513,Moderate
DDInter1961,DDInter885,Moderate
DDInter1263,DDInter1961,Moderate
DDInter1513,DDInter1961,Moderate
DDInter1515,DDInter1961,Moderate
DDInter1622,DDInter1961,Moderate
DDInter1675,DDInter1961,Moderate
DDInter1855,DDInter1961,Moderate
DDInter2,DDInter269,Moderate
DDInter3,DDInter52,Moderate
DDInter112,DDInter3,Moderate
DDInter195,DDInter3,Moderate
DDInter246,DDInter3,Moderate
DDInter252,DDInter3,Moderate
DDInter3,DDInter385,Moderate
DDInter3,DDInter393,Moderate
DDInter3,DDInter513,Moderate
DDInter3,DDInter519,Moderate
DDInter3,DDInter581,Moderate
DDInter3,DDInter601,Moderate
DDInter3,DDInter629,Moderate
DDInter3,DDInter676,Moderate
DDInter3,DDInter831,Moderate
DDInter3,DDInter840,Moderate
DDInter3,DDInter885,Moderate
DDInter1022,DDInter3,Moderate
DDInter1070,DDInter3,Moderate
DDInter1258,DDInter3,Moderate
DDInter1261,DDInter3,Moderate
DDInter1269,DDInter3,Moderate
DDInter1300,DDInter3,Moderate
DDInter1340,DDInter3,Moderate
DDInter1342,DDInter3,Moderate
DDInter1388,DDInter3,Moderate
DDInter1472,DDInter3,Moderate
DDInter1513,DDInter3,Moderate
DDInter1515,DDInter3,Moderate
DDInter1559,DDInter3,Moderate
DDInter1581,DDInter3,Moderate
DDInter1615,DDInter3,Moderate
DDInter1646,DDInter3,Moderate
DDInter1665,DDInter3,Moderate
DDInter1675,DDInter3,Moderate
DDInter1811,DDInter3,Moderate
DDInter1855,DDInter3,Moderate
DDInter1881,DDInter3,Moderate
DDInter1963,DDInter5,Minor
DDInter1965,DDInter5,Minor
DDInter1966,DDInter5,Minor
DDInter20,DDInter6,Moderate
DDInter518,DDInter6,Moderate
DDInter6,DDInter717,Moderate
DDInter1665,DDInter6,Moderate
DDInter112,DDInter7,Moderate
DDInter393,DDInter7,Major
DDInter416,DDInter7,Moderate
DDInter513,DDInter7,Moderate
DDInter1164,DDInter7,Moderate
DDInter1201,DDInter7,Moderate
DDInter1263,DDInter7,Moderate
DDInter1881,DDInter7,Moderate
DDInter212,DDInter8,Moderate
DDInter307,DDInter8,Moderate
DDInter385,DDInter8,Major
DDInter393,DDInter8,Moderate
DDInter518,DDInter8,Moderate
DDInter581,DDInter8,Major
DDInter629,DDInter8,Major
DDInter632,DDInter8,Moderate
DDInter712,DDInter8,Moderate
DDInter717,DDInter8,Moderate
DDInter8,DDInter832,Moderate
DDInter8,DDInter840,Moderate
DDInter1016,DDInter8,Moderate
DDInter1018,DDInter8,Moderate
DDInter1055,DDInter8,Moderate
DDInter1088,DDInter8,Major
DDInter1115,DDInter8,Moderate
DDInter1118,DDInter8,Moderate
DDInter1197,DDInter8,Moderate
DDInter1202,DDInter8,Minor
DDInter1223,DDInter8,Moderate
DDInter1261,DDInter8,Minor
DDInter1263,DDInter8,Moderate
DDInter1300,DDInter8,Moderate
DDInter1342,DDInter8,Moderate
DDInter1382,DDInter8,Moderate
DDInter1389,DDInter8,Major
DDInter1443,DDInter8,Moderate
DDInter1472,DDInter8,Moderate
DDInter1488,DDInter8,Moderate
DDInter1487,DDInter8,Moderate
DDInter1581,DDInter8,Moderate
DDInter1621,DDInter8,Moderate
DDInter136,DDInter225,Moderate
DDInter225,DDInter397,Moderate
DDInter225,DDInter543,Moderate
DDInter225,DDInter834,Moderate
DDInter225,DDInter896,Moderate
DDInter1004,DDInter225,Major
DDInter1149,DDInter225,Moderate
DDInter1180,DDInter225,Moderate
DDInter1277,DDInter225,Major
DDInter1489,DDInter225,Major
DDInter1535,DDInter225,Moderate
DDInter1647,DDInter225,Moderate
DDInter1713,DDInter225,Major
DDInter1886,DDInter225,Moderate
DDInter112,DDInter1377,Moderate
DDInter124,DDInter1377,Minor
DDInter1377,DDInter380,Moderate
DDInter1377,DDInter393,Moderate
DDInter1377,DDInter416,Moderate
DDInter1377,DDInter513,Moderate
DDInter1377,DDInter629,Moderate
DDInter1055,DDInter1377,Minor
DDInter1202,DDInter1377,Moderate
DDInter1209,DDInter1377,Moderate
DDInter1377,DDInter1615,Moderate
DDInter1377,DDInter1622,Moderate
DDInter1377,DDInter1675,Moderate
DDInter1377,DDInter1811,Moderate
DDInter1377,DDInter1881,Moderate
DDInter195,DDInter991,Moderate
DDInter246,DDInter991,Moderate
DDInter513,DDInter991,Moderate
DDInter598,DDInter991,Major
DDInter885,DDInter991,Moderate
DDInter1224,DDInter991,Major
DDInter1263,DDInter991,Moderate
DDInter1300,DDInter991,Moderate
