RXCUI_drug,TTY_drug,drug_name,RXCUI_ing,TTY_ing,ingredient_name
311143,SCD,iron-dextran complex 100 MG/ML Injectable Solution,5992,IN,iron-dextran complex
1314869,SBD,iron-dextran complex 100 MG/ML Injectable Solution [Uniferon],5992,IN,iron-dextran complex
213269,SBD,sildenafil 25 MG Oral Tablet [Viagra],136411,IN,sildenafil
314228,SCD,sildenafil 25 MG Oral Tablet,136411,IN,sildenafil
2735822,SCD,sildenafil 25 MG Oral Film,136411,IN,sildenafil
2735824,SBD,sildenafil 25 MG Oral Film [Vybrique],136411,IN,sildenafil
108911,SBD,5 ML abciximab 2 MG/ML Injection [ReoPro],83929,IN,abciximab
241162,SCD,5 ML abciximab 2 MG/ML Injection,83929,IN,abciximab
1656687,SCD,abciximab 2 MG/ML Injection,83929,IN,abciximab
1656688,SBD,abciximab 2 MG/ML Injection [ReoPro],83929,IN,abciximab
199150,SCD,acarbose 100 MG Oral Tablet,16681,IN,acarbose
209248,SBD,acarbose 100 MG Oral Tablet [Precose],16681,IN,acarbose
200132,SCD,acarbose 25 MG Oral Tablet,16681,IN,acarbose
213170,SBD,acarbose 25 MG Oral Tablet [Precose],16681,IN,acarbose
199149,SCD,acarbose 50 MG Oral Tablet,16681,IN,acarbose
209247,SBD,acarbose 50 MG Oral Tablet [Precose],16681,IN,acarbose
108355,SBD,acetaminophen 100 MG/ML Oral Solution [Infadrops],161,IN,acetaminophen
209504,SBD,acetaminophen 100 MG/ML Oral Solution [Apacet],161,IN,acetaminophen
209507,SBD,acetaminophen 100 MG/ML Oral Solution [Genapap],161,IN,acetaminophen
209510,SBD,acetaminophen 100 MG/ML Oral Solution [Infantaire],161,IN,acetaminophen
209513,SBD,acetaminophen 100 MG/ML Oral Solution [Mardol],161,IN,acetaminophen
209520,SBD,acetaminophen 100 MG/ML Oral Solution [Q-Nol],161,IN,acetaminophen
209521,SBD,acetaminophen 100 MG/ML Oral Solution [T-Panol],161,IN,acetaminophen
209522,SBD,acetaminophen 100 MG/ML Oral Solution [Tempra 1],161,IN,acetaminophen
209523,SBD,acetaminophen 100 MG/ML Oral Solution [Tempra],161,IN,acetaminophen
209525,SBD,acetaminophen 100 MG/ML Oral Solution [Uni-Ace],161,IN,acetaminophen
238159,SCD,acetaminophen 100 MG/ML Oral Solution,161,IN,acetaminophen
243675,SCD,acetaminophen 100 MG/ML Oral Suspension,161,IN,acetaminophen
243730,SCD,acetaminophen 100 MG/ML / oxycodone 1 MG/ML Oral Solution,161,IN,acetaminophen
251589,SCD,acetaminophen 100 MG/ML / scopolamine 2 MG/ML Oral Solution,161,IN,acetaminophen
604211,SBD,acetaminophen 100 MG/ML Oral Solution [Dolono Infant],161,IN,acetaminophen
801742,SBD,acetaminophen 100 MG/ML Oral Suspension [Pediaphen],161,IN,acetaminophen
828558,SBD,acetaminophen 100 MG/ML Oral Suspension [Tylenol],161,IN,acetaminophen
857388,SCD,acetaminophen 100 MG/ML / hydrocodone bitartrate 1 MG/ML Oral Solution,161,IN,acetaminophen
1048963,SBD,acetaminophen 100 MG/ML Oral Suspension [Mapap],161,IN,acetaminophen
1091868,SBD,acetaminophen 100 MG/ML Oral Solution [Mejoralito],161,IN,acetaminophen
1095626,SBD,acetaminophen 100 MG/ML Oral Solution [Panadol],161,IN,acetaminophen
1101345,SBD,acetaminophen 100 MG/ML Oral Solution [Nortemp],161,IN,acetaminophen
1245718,SCD,acetaminophen 100 MG/ML / dextromethorphan hydrobromide 3.13 MG/ML / pseudoephedrine hydrochloride 9.38 MG/ML Oral Suspension,161,IN,acetaminophen
1291947,SCD,acetaminophen 100 MG/ML / diphenhydramine hydrochloride 5 MG/ML Oral Solution,161,IN,acetaminophen
1369801,SCD,acetaminophen 100 MG/ML / dextromethorphan hydrobromide 3.13 MG/ML / phenylephrine hydrochloride 1.56 MG/ML Oral Suspension,161,IN,acetaminophen
1369812,SCD,acetaminophen 100 MG/ML / phenylephrine hydrochloride 1.56 MG/ML Oral Suspension,161,IN,acetaminophen
1369815,SCD,acetaminophen 100 MG/ML / pseudoephedrine hydrochloride 9.38 MG/ML Oral Suspension,161,IN,acetaminophen
2168521,SCD,acetaminophen 100 MG/ML / dextromethorphan hydrobromide 3.13 MG/ML Oral Solution,161,IN,acetaminophen
2168522,SCD,acetaminophen 100 MG/ML / dextromethorphan hydrobromide 3.13 MG/ML Oral Suspension,161,IN,acetaminophen
2266747,SCD,acetaminophen 100 MG/ML / pseudoephedrine hydrochloride 9.375 MG/ML Oral Solution,161,IN,acetaminophen
2275737,SCD,acetaminophen 100 MG/ML / phenylephrine hydrochloride 1.56 MG/ML Oral Solution,161,IN,acetaminophen
106811,SCD,acetaminophen 120 MG Disintegrating Oral Tablet,161,IN,acetaminophen
106812,SBD,acetaminophen 120 MG Disintegrating Oral Tablet [Disprol Junior],161,IN,acetaminophen
198434,SCD,acetaminophen 120 MG Rectal Suppository,161,IN,acetaminophen
209352,SBD,acetaminophen 120 MG Rectal Suppository [Acephen],161,IN,acetaminophen
209353,SBD,acetaminophen 120 MG Rectal Suppository [Feverall],161,IN,acetaminophen
209354,SBD,acetaminophen 120 MG Rectal Suppository [Mapap],161,IN,acetaminophen
209355,SBD,acetaminophen 120 MG Rectal Suppository [Neopap Supprettes],161,IN,acetaminophen
209359,SBD,acetaminophen 120 MG Rectal Suppository [Uniserts],161,IN,acetaminophen
243677,SCD,acetaminophen 120 MG Oral Wafer,161,IN,acetaminophen
243682,SCD,acetaminophen 120 MG / aspirin 260 MG Oral Tablet,161,IN,acetaminophen
250133,SCD,acetaminophen 120 MG Oral Tablet,161,IN,acetaminophen
250520,SCD,acetaminophen 120 MG Oral Capsule,161,IN,acetaminophen
333838,SCD,acetaminophen 120 MG Chewable Tablet,161,IN,acetaminophen
830547,SCD,acetaminophen 120 MG / aspirin 260 MG / salicylamide 120 MG Oral Tablet,161,IN,acetaminophen
307666,SCD,acetaminophen 125 MG Rectal Suppository,161,IN,acetaminophen
308281,SCD,acetaminophen 125 MG / aspirin 240 MG / caffeine 32 MG Oral Tablet,161,IN,acetaminophen
308282,SCD,acetaminophen 125 MG / chlorpheniramine 4 MG / phenylephrine 5 MG / salicylamide 150 MG Oral Tablet,161,IN,acetaminophen
1242523,SCD,acetaminophen 125 MG / doxylamine succinate 5 MG Rectal Suppository,161,IN,acetaminophen
106821,SCD,acetaminophen 150 MG / sodium salicylate 100 MG Oral Tablet,161,IN,acetaminophen
251685,SCD,acetaminophen 150 MG Rectal Suppository,161,IN,acetaminophen
309447,SCD,acetaminophen 150 MG / caffeine 30 MG / codeine 15 MG / salicylamide 230 MG Oral Tablet,161,IN,acetaminophen
309466,SCD,acetaminophen 150 MG / caffeine 30 MG / codeine 30 MG / salicylamide 230 MG Oral Tablet,161,IN,acetaminophen
313824,SCD,acetaminophen 150 MG / caffeine 30 MG / salicylamide 230 MG Oral Tablet,161,IN,acetaminophen
314903,SCD,acetaminophen 150 MG / caffeine 30 MG / codeine 8 MG / salicylamide 230 MG Oral Tablet,161,IN,acetaminophen
432641,SCD,acetaminophen 150 MG / aspirin 250 MG / caffeine 30 MG Oral Tablet,161,IN,acetaminophen
432713,SCD,acetaminophen 150 MG / aspirin 250 MG / caffeine 50 MG Oral Tablet,161,IN,acetaminophen
857389,SCD,acetaminophen 150 MG / aspirin 230 MG / caffeine 30 MG / hydrocodone bitartrate 5 MG Oral Tablet,161,IN,acetaminophen
996778,SCD,acetaminophen 150 MG / aspirin 180 MG / codeine phosphate 15 MG Oral Capsule,161,IN,acetaminophen
996958,SCD,acetaminophen 150 MG / aspirin 180 MG / codeine phosphate 30 MG Oral Capsule,161,IN,acetaminophen
996959,SCD,acetaminophen 150 MG / aspirin 180 MG / codeine phosphate 60 MG Oral Capsule,161,IN,acetaminophen
1144261,SCD,acetaminophen 150 MG / chlorpheniramine maleate 2 MG / salicylamide 175 MG Oral Tablet,161,IN,acetaminophen
1190818,SCD,acetaminophen 150 MG / atropine sulfate 0.3 MG / ethaverine 20 MG / salicylamide 100 MG Oral Tablet,161,IN,acetaminophen
2275802,SCD,acetaminophen 150 MG / chlorpheniramine maleate 2 MG / phenylephrine hydrochloride 5 MG / salicylamide 250 MG Oral Tablet,161,IN,acetaminophen
205251,SCD,acetaminophen 160 MG / aspirin 230 MG / caffeine 33 MG Oral Tablet,161,IN,acetaminophen
209532,SBD,acetaminophen 160 MG Oral Capsule [Feverall],161,IN,acetaminophen
209864,SBD,acetaminophen 160 MG Oral Tablet [Mapap Junior Strength],161,IN,acetaminophen
209870,SBD,acetaminophen 160 MG Chewable Tablet [Mapap],161,IN,acetaminophen
209872,SBD,acetaminophen 160 MG Chewable Tablet [Tempra 3],161,IN,acetaminophen
209873,SBD,acetaminophen 160 MG Chewable Tablet [Tempra Quicklets],161,IN,acetaminophen
213290,SBD,acetaminophen 160 MG / aspirin 230 MG / caffeine 33 MG Oral Tablet [Supac],161,IN,acetaminophen
247650,SCD,acetaminophen 160 MG Rectal Suppository,161,IN,acetaminophen
282464,SCD,acetaminophen 160 MG Oral Tablet,161,IN,acetaminophen
307667,SCD,acetaminophen 160 MG Oral Capsule,161,IN,acetaminophen
308287,SCD,acetaminophen 160 MG / aspirin 230 MG / caffeine 33 MG / calcium gluconate 60 MG Oral Tablet,161,IN,acetaminophen
313820,SCD,acetaminophen 160 MG Chewable Tablet,161,IN,acetaminophen
429207,SCD,acetaminophen 160 MG / mephenesin 250 MG Oral Tablet,161,IN,acetaminophen
477282,SCD,acetaminophen 160 MG Disintegrating Oral Tablet,161,IN,acetaminophen
608652,SBD,acetaminophen 160 MG Disintegrating Oral Tablet [Mapap],161,IN,acetaminophen
608681,SBD,acetaminophen 160 MG Disintegrating Oral Tablet [Tylenol],161,IN,acetaminophen
828557,SBD,acetaminophen 160 MG Chewable Tablet [Tylenol],161,IN,acetaminophen
1095628,SBD,acetaminophen 160 MG Oral Tablet [Panadol],161,IN,acetaminophen
1146434,SBD,acetaminophen 160 MG Oral Tablet [Tylenol],161,IN,acetaminophen
2122363,SCD,acetaminophen 160 MG / dextromethorphan hydrobromide 5 MG Chewable Tablet,161,IN,acetaminophen
2167679,SCD,acetaminophen 160 MG / dextromethorphan hydrobromide 5 MG / pseudoephedrine hydrochloride 15 MG Chewable Tablet,161,IN,acetaminophen
2178755,SCD,acetaminophen 160 MG Oral Powder,161,IN,acetaminophen
2178758,SBD,acetaminophen 160 MG Oral Powder [Tylenol],161,IN,acetaminophen
